split,model,aggregation,source_recording_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall,bootstrap_unit,bootstrap_replicates,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,worst_class_recall_ci_low,worst_class_recall_ci_high
source_file,logistic_regression,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,logistic_regression,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,svm,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,svm,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,random_forest,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,random_forest,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,mlp,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,mlp,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_condition,logistic_regression,mean_probability,42,0.9523809523809523,0.9599358974358975,0.9583333333333333,0.9582971014492754,0.9523395445134575,0.9166666666666666,source_recording,2000,0.8809523809523809,1.0,0.8938923395445134,1.0,0.6666666666666666,1.0
cross_condition,logistic_regression,majority_vote,42,0.9523809523809523,0.9599358974358975,0.9583333333333333,0.9582971014492754,0.9523395445134575,0.9166666666666666,source_recording,2000,0.8809523809523809,1.0,0.8938923395445134,1.0,0.6666666666666666,1.0
cross_condition,svm,mean_probability,42,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229813,0.9166666666666666,source_recording,2000,0.9285714285714286,1.0,0.9365079365079365,1.0,0.75,1.0
cross_condition,svm,majority_vote,42,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229813,0.9166666666666666,source_recording,2000,0.9285714285714286,1.0,0.9365079365079365,1.0,0.75,1.0
cross_condition,random_forest,mean_probability,42,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229813,0.9166666666666666,source_recording,2000,0.9285714285714286,1.0,0.9365079365079365,1.0,0.75,1.0
cross_condition,random_forest,majority_vote,42,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229813,0.9166666666666666,source_recording,2000,0.9285714285714286,1.0,0.9365079365079365,1.0,0.75,1.0
cross_condition,mlp,mean_probability,42,0.9523809523809523,0.9599358974358975,0.9583333333333333,0.9582971014492754,0.9523395445134575,0.9166666666666666,source_recording,2000,0.8809523809523809,1.0,0.8938923395445134,1.0,0.6666666666666666,1.0
cross_condition,mlp,majority_vote,42,0.9523809523809523,0.9599358974358975,0.9583333333333333,0.9582971014492754,0.9523395445134575,0.9166666666666666,source_recording,2000,0.8809523809523809,1.0,0.8938923395445134,1.0,0.6666666666666666,1.0
cross_condition,xgboost,mean_probability,42,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229813,0.9166666666666666,source_recording,2000,0.9285714285714286,1.0,0.9365079365079365,1.0,0.75,1.0
cross_condition,xgboost,majority_vote,42,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229813,0.9166666666666666,source_recording,2000,0.9285714285714286,1.0,0.9365079365079365,1.0,0.75,1.0
cross_load,logistic_regression,mean_probability,42,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_load,logistic_regression,majority_vote,42,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_load,svm,mean_probability,42,0.6904761904761905,0.5863636363636364,0.6041666666666667,0.5457516339869282,0.6237161531279178,0.0,source_recording,2000,0.6190476190476191,0.7619047619047619,0.45238095238095233,0.6182692307692308,0.0,0.0
cross_load,svm,majority_vote,42,0.5952380952380952,0.5753968253968254,0.5208333333333333,0.42307692307692313,0.48351648351648346,0.0,source_recording,2000,0.5714285714285714,0.6428571428571429,0.3721804511278195,0.4978947368421052,0.0,0.0
cross_load,random_forest,mean_probability,42,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_load,random_forest,majority_vote,42,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_load,mlp,mean_probability,42,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_load,mlp,majority_vote,42,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_load,xgboost,mean_probability,42,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229813,0.9166666666666666,source_recording,2000,0.9285714285714286,1.0,0.9365079365079365,1.0,0.75,1.0
cross_load,xgboost,majority_vote,42,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_rpm,logistic_regression,mean_probability,28,0.5,0.31085526315789475,0.4444444444444444,0.35833333333333334,0.39404761904761904,0.0,source_recording,2000,0.39285714285714285,0.5714285714285714,0.29583333333333334,0.4,0.0,0.0
cross_rpm,logistic_regression,majority_vote,28,0.5,0.31085526315789475,0.4444444444444444,0.35833333333333334,0.39404761904761904,0.0,source_recording,2000,0.39285714285714285,0.5714285714285714,0.29583333333333334,0.4,0.0,0.0
cross_rpm,svm,mean_probability,28,0.2857142857142857,0.3148148148148148,0.28125,0.15849673202614378,0.16643323996265172,0.0,source_recording,2000,0.25,0.35714285714285715,0.1,0.24573863636363635,0.0,0.0
cross_rpm,svm,majority_vote,28,0.25,0.0625,0.25,0.1,0.1,0.0,source_recording,2000,0.25,0.25,0.1,0.1,0.0,0.0
cross_rpm,random_forest,mean_probability,28,0.7142857142857143,0.8472222222222222,0.7777777777777778,0.7019607843137254,0.6427170868347339,0.1111111111111111,source_recording,2000,0.6785714285714286,0.7857142857142857,0.6355263157894737,0.8,0.0,0.3333333333333333
cross_rpm,random_forest,majority_vote,28,0.6785714285714286,0.5888888888888889,0.75,0.6443850267379679,0.5708556149732621,0.0,source_recording,2000,0.6785714285714286,0.6785714285714286,0.6355263157894737,0.6521739130434783,0.0,0.0
cross_rpm,mlp,mean_probability,28,0.5,0.39375,0.44791666666666663,0.37588235294117645,0.4173109243697479,0.0,source_recording,2000,0.39285714285714285,0.6071428571428571,0.2675438596491228,0.4945653409090909,0.0,0.0
cross_rpm,mlp,majority_vote,28,0.5,0.39375,0.44791666666666663,0.37588235294117645,0.4173109243697479,0.0,source_recording,2000,0.39285714285714285,0.6071428571428571,0.2675438596491228,0.4945653409090909,0.0,0.0
cross_rpm,xgboost,mean_probability,28,0.8214285714285714,0.6313131313131313,0.7222222222222222,0.6666666666666666,0.7658730158730158,0.0,source_recording,2000,0.75,0.8571428571428571,0.6106811145510836,0.6944444444444444,0.0,0.0
cross_rpm,xgboost,majority_vote,28,0.8214285714285714,0.6313131313131313,0.7222222222222222,0.6666666666666666,0.7658730158730158,0.0,source_recording,2000,0.75,0.8571428571428571,0.6106811145510836,0.6944444444444444,0.0,0.0
